strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop
lorentzian_knn,4h,0.8477307069538813,0.9692603710189334,0.8246159847264253,0.708805877094601,0.4507523939808481,0.2185187170286155,0.7804498217914522,659,,,,,,,,,4,8,500,16,1.0,,,,0.05,
lorentzian_knn,4h,0.8468014350840751,0.974194954037054,0.7927616811986629,0.7309831636988492,1.0082079343365251,0.2026345059743688,0.7390372053409461,1474,,,,,,,,,16,4,500,4,2.0,,,,0.03,
lorentzian_knn,4h,0.8459322728217425,0.958867961975225,0.7945905718035198,0.7466930549686556,0.7564979480164159,0.1818708147823919,0.665475689886911,1106,,,,,,,,,8,4,500,8,1.0,,,,0.03,
lorentzian_knn,4h,0.8447330255272293,0.953501472748048,0.8058825960778184,0.7385588586822157,0.539671682626539,0.187248684453297,0.6801651957957251,789,,,,,,,,,4,4,500,16,0.5,,,,0.03,
lorentzian_knn,4h,0.8409246533153228,0.9287968278523412,0.7734725764946233,0.7912138307533312,0.7564979480164159,0.1658003704716376,0.6385137641571252,1106,,,,,,,,,8,4,500,8,0.5,,,,0.03,
lorentzian_knn,4h,0.8406684639259753,0.879884676346723,0.8156171064112148,0.8134315382130722,0.408344733242134,0.1603685400305399,0.6342546648484452,597,,,,,,,,,16,8,1000,16,2.0,,,,0.03,
lorentzian_knn,4h,0.8396946664303299,0.8596718289054054,0.8194896313314751,0.8332634848957508,0.4076607387140903,0.159100738665054,0.6465901196402097,596,,,,,,,,,16,8,1000,16,1.0,,,,0.03,
lorentzian_knn,4h,0.8337588099045505,0.9222932997238796,0.818721102151606,0.7307505312317231,0.478796169630643,0.1946457365371131,0.703603270390231,700,,,,,,,,,8,4,500,16,0.5,,,,0.03,
lorentzian_knn,4h,0.8334362100592426,0.9075382042726912,0.8540728095611796,0.7139969516060408,0.3447332421340629,0.208000200766628,0.7413993354278497,504,,,,,,,,,16,8,500,16,1.0,,,,0.03,
lorentzian_knn,4h,0.8333130334238925,0.8705398670577035,0.7976718806325684,0.8193184080368018,0.3891928864569083,0.1640512534417986,0.6573171662615204,569,,,,,,,,,16,4,500,16,2.0,,,,0.03,
lorentzian_knn,4h,0.8261816944415903,1.008258925397068,0.8268543047561983,0.5827394428530122,0.7455540355677155,0.2526758640696009,0.7337145456539057,1090,,,,,,,,,4,8,500,8,0.5,,,,0.03,
lorentzian_knn,4h,0.8256166846127697,0.8376572046391783,0.7986604992945079,0.8365188432291533,0.4097127222982216,0.1509271900245218,0.6100932723238497,599,,,,,,,,,16,8,1000,16,0.5,,,,0.03,
lorentzian_knn,4h,0.8234161705357594,0.9650635660892838,0.8212370969834032,0.63673205001675,0.6833105335157319,0.2150819402177169,0.6722287382619068,999,,,,,,,,,8,8,1000,8,1.0,,,,0.03,
lorentzian_knn,4h,0.8208488803175541,0.957730728051016,0.7793165095132508,0.6798721208105748,1.006155950752394,0.2118939278631346,0.7145230957563468,1471,,,,,,,,,16,4,500,4,0.5,,,,0.03,
lorentzian_knn,4h,0.8180076395459398,0.9264297701131606,0.7696832235830557,0.7217692147525293,0.759233926128591,0.181029318218086,0.635486006190127,1110,,,,,,,,,8,4,500,8,2.0,,,,0.03,
lorentzian_knn,4h,0.8136520902572253,0.8861305333976756,0.7929105086670767,0.7377557476601071,0.4794801641586867,0.1847958988884144,0.6686062080726619,701,,,,,,,,,8,4,500,16,1.0,,,,0.03,
lorentzian_knn,4h,0.8128312715378663,0.8913344929042181,0.8060279359431918,0.7149636453107386,0.4829001367989056,0.1822372795326363,0.6333525825006265,706,,,,,,,,,4,8,1000,16,1.0,,,,0.03,
lorentzian_knn,4h,0.8125122626230192,0.9956359755485608,0.8126103704259915,0.5682492042526582,0.7448700410396717,0.2543091034159165,0.7172272602960912,1089,,,,,,,,,4,8,500,8,1.0,,,,0.03,
lorentzian_knn,4h,0.8101352089849683,0.9609934660957022,0.8038506645951949,0.6152754105604296,0.7578659370725034,0.2218249601403481,0.6694840702049296,1108,,,,,,,,,4,8,1000,8,1.0,,,,0.03,
lorentzian_knn,4h,0.8076422512268464,0.9753921743251418,0.7371539563388796,0.6544639819837529,1.3392612859097128,0.2065733396031244,0.6619137848806053,1958,,,,,,,,,2,4,1000,4,0.5,,,,0.03,
